id_usuario,id_curso,carreira_desejada,area_atuacao,nivel_experiencia,nivel_experiencia_num,idade,anos_experiencia,escolaridade,escolaridade_num,tempo_disponivel_semanal,nivel_curso,nivel_curso_num,carga_horaria,avaliacao_media,taxa_conclusao_media,popularidade_score,match_nivel,match_tempo,match_carreira,score_relevancia,probabilidade_conclusao,concluiu,progresso
5,10016,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,65,4.8,76.0,83,0.3,0.5,1.0,6.87,0.634,1,100.0
5,10017,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,40,4.7,78.0,84,0.3,1.0,1.0,8.84,0.7336,1,100.0
5,10152,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,40,4.8,86.7,93,0.3,1.0,1.0,7.54,0.7052,1,100.0
5,10109,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,45,4.8,87.5,94,0.3,1.0,0.3,5.32,0.4246,0,12.5
5,10060,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,INTERMEDIARIO,2,32,4.8,88.6,93,0.3,1.0,0.3,5.92,0.5711,1,100.0
5,10174,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,BASICO,1,30,4.8,93.2,97,1.0,1.0,0.3,7.1,0.8662,1,100.0
6,10070,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,47,5,Superior Completo,5,4,AVANCADO,3,35,4.9,88.3,94,0.3,0.5,1.0,7.33,0.4638,0,78.6
6,10066,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,47,5,Superior Completo,5,4,INTERMEDIARIO,2,50,4.8,87.9,94,1.0,0.5,1.0,8.42,0.8367,1,100.0
6,10034,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,47,5,Superior Completo,5,4,BASICO,1,30,4.8,92.5,97,1.0,0.5,0.3,6.43,0.6077,1,100.0
7,10157,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,AVANCADO,3,38,4.7,87.3,93,0.3,1.0,1.0,8.46,0.7412,0,51.1
7,10154,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,AVANCADO,3,48,4.9,88.7,96,0.3,0.5,1.0,7.61,0.7,1,100.0
7,10163,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,AVANCADO,3,42,4.8,88.4,94,0.3,0.5,1.0,7.05,0.6092,1,100.0
7,10161,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,INTERMEDIARIO,2,28,4.8,91.2,96,0.3,1.0,1.0,8.55,0.7876,1,100.0
7,10160,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,AVANCADO,3,44,4.9,87.8,94,0.3,0.5,1.0,7.76,0.6899,1,100.0
7,10071,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,INTERMEDIARIO,2,20,4.7,90.1,94,0.3,1.0,0.3,5.49,0.4215,0,13.4
7,10124,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,BASICO,1,35,4.9,92.7,97,1.0,1.0,0.3,8.0,0.6317,0,64.2
7,10107,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,INTERMEDIARIO,2,28,4.8,91.6,96,0.3,1.0,0.3,5.06,0.5376,1,100.0
8,10087,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,INTERMEDIARIO,2,38,4.7,89.4,93,1.0,0.5,1.0,9.08,0.816,1,100.0
8,10010,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,BASICO,1,35,4.7,86.0,89,1.0,0.5,1.0,8.1,0.98,1,100.0
8,10090,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,INTERMEDIARIO,2,28,4.9,90.8,96,1.0,0.5,1.0,9.59,0.7187,1,100.0
8,10062,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,INTERMEDIARIO,2,30,4.8,89.5,93,1.0,0.5,0.3,6.66,0.6001,1,100.0
8,10169,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,AVANCADO,3,45,4.9,87.3,95,1.0,0.5,0.3,6.05,0.7089,0,17.9
9,10046,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,BASICO,1,28,4.8,92.8,95,1.0,0.5,1.0,8.92,0.98,1,100.0
9,10044,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,INTERMEDIARIO,2,25,4.7,91.2,94,0.3,0.5,1.0,7.97,0.8124,0,55.2
9,10003,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,BASICO,1,15,4.7,90.0,92,1.0,1.0,1.0,10.0,0.9693,1,100.0
9,10035,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,INTERMEDIARIO,2,40,4.9,89.3,94,0.3,0.5,1.0,7.06,0.6675,0,40.8
9,10119,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,INTERMEDIARIO,2,30,4.8,90.8,95,0.3,0.5,0.3,4.42,0.672,1,100.0
9,10138,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,AVANCADO,3,38,4.8,89.1,94,0.3,0.5,0.3,4.29,0.4751,1,100.0
9,10066,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,INTERMEDIARIO,2,50,4.8,87.9,94,0.3,0.5,0.3,3.5,0.6188,0,80.4
10,10093,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,AVANCADO,3,32,4.8,87.9,93,0.3,1.0,1.0,8.33,0.7207,1,100.0
10,10089,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,AVANCADO,3,40,4.8,86.3,93,0.3,1.0,1.0,7.7,0.9333,1,100.0
10,10085,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,AVANCADO,3,48,4.9,86.7,93,0.3,1.0,1.0,8.69,0.7939,1,100.0
10,10012,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,INTERMEDIARIO,2,45,4.7,82.0,86,1.0,1.0,1.0,9.55,0.98,1,100.0
10,10011,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,BASICO,1,30,4.6,84.0,87,1.0,1.0,1.0,9.51,0.98,1,100.0
10,10045,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,INTERMEDIARIO,2,30,4.9,90.5,95,1.0,1.0,0.3,6.6,0.5119,0,79.8
10,10019,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,BASICO,1,35,4.6,86.0,89,1.0,1.0,0.3,7.37,0.6102,1,100.0
10,10072,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,INTERMEDIARIO,2,28,4.8,89.2,93,1.0,1.0,0.3,7.81,0.6354,1,100.0
11,10146,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,AVANCADO,3,45,4.8,86.9,94,0.3,1.0,1.0,7.58,0.8825,1,100.0
11,10150,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,AVANCADO,3,35,4.8,87.9,93,0.3,1.0,1.0,8.32,0.6895,0,11.8
11,10152,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,AVANCADO,3,40,4.8,86.7,93,0.3,1.0,1.0,8.52,0.7166,1,100.0
11,10119,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,INTERMEDIARIO,2,30,4.8,90.8,95,1.0,1.0,0.3,7.33,0.816,1,100.0
11,10014,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,INTERMEDIARIO,2,30,4.7,83.0,87,1.0,1.0,0.3,7.1,0.6908,1,100.0
12,10046,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,BASICO,1,28,4.8,92.8,95,1.0,1.0,1.0,10.0,0.8527,1,100.0
12,10001,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,BASICO,1,30,4.5,85.0,88,1.0,1.0,1.0,9.57,0.98,1,100.0
12,10036,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,INTERMEDIARIO,2,45,4.9,88.7,94,1.0,1.0,1.0,9.73,0.98,1,100.0
12,10051,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,INTERMEDIARIO,2,32,4.8,89.4,93,1.0,1.0,1.0,10.0,0.9291,1,100.0
12,10124,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,BASICO,1,35,4.9,92.7,97,1.0,1.0,0.3,6.95,0.7743,1,100.0
12,10120,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,INTERMEDIARIO,2,24,4.9,92.3,96,1.0,1.0,0.3,6.88,0.8296,1,100.0
13,10069,Desenvolvedor Mobile,Outro,Junior,1,19,1,Ensino Fundamental,1,12,AVANCADO,3,32,4.8,87.6,92,0.3,1.0,1.0,7.61,0.7998,0,31.0
13,10065,Desenvolvedor Mobile,Outro,Junior,1,19,1,Ensino Fundamental,1,12,INTERMEDIARIO,2,48,4.9,90.2,96,0.3,1.0,1.0,8.21,0.8773,1,100.0
13,10113,Desenvolvedor Mobile,Outro,Junior,1,19,1,Ensino Fundamental,1,12,AVANCADO,3,28,4.9,87.6,93,0.3,1.0,0.3,5.14,0.5916,0,12.9
14,10141,Arquiteto de Software,Ciência de Dados,Intermediário,2,25,6,Ensino Médio,2,5,AVANCADO,3,32,4.7,87.3,93,0.3,0.5,1.0,7.44,0.6939,1,100.0
14,10139,Arquiteto de Software,Ciência de Dados,Intermediário,2,25,6,Ensino Médio,2,5,AVANCADO,3,45,4.9,87.6,94,0.3,0.5,1.0,7.33,0.7059,1,100.0
14,10101,Arquiteto de Software,Ciência de Dados,Intermediário,2,25,6,Ensino Médio,2,5,INTERMEDIARIO,2,22,4.8,93.2,97,1.0,0.5,0.3,5.88,0.4111,1,100.0
14,10053,Arquiteto de Software,Ciência de Dados,Intermediário,2,25,6,Ensino Médio,2,5,AVANCADO,3,28,4.6,87.9,92,0.3,0.5,0.3,4.58,0.414,0,34.1
15,10164,Analista de Segurança,Tecnologia da Informação,Intermediário,2,34,3,Superior Completo,5,4,BASICO,1,35,4.8,91.6,96,1.0,0.5,1.0,9.28,0.9356,1,100.0
15,10166,Analista de Segurança,Tecnologia da Informação,Intermediário,2,34,3,Superior Completo,5,4,INTERMEDIARIO,2,38,4.8,89.4,94,1.0,0.5,1.0,9.71,0.7068,0,13.7
15,10071,Analista de Segurança,Tecnologia da Informação,Intermediário,2,34,3,Superior Completo,5,4,INTERMEDIARIO,2,20,4.7,90.1,94,1.0,0.5,0.3,6.53,0.6095,1,100.0
15,10115,Analista de Segurança,Tecnologia da Informação,Intermediário,2,34,3,Superior Completo,5,4,INTERMEDIARIO,2,35,4.9,92.8,98,1.0,0.5,0.3,5.69,0.7119,1,100.0
16,10136,Arquiteto de Software,Marketing Digital,Junior,1,21,1,Pós-graduação,6,10,AVANCADO,3,42,4.8,87.9,93,0.3,0.5,1.0,7.57,0.9101,0,71.5
16,10140,Arquiteto de Software,Marketing Digital,Junior,1,21,1,Pós-graduação,6,10,AVANCADO,3,35,4.8,88.7,94,0.3,1.0,1.0,8.03,0.7873,1,100.0
16,10158,Arquiteto de Software,Marketing Digital,Junior,1,21,1,Pós-graduação,6,10,AVANCADO,3,40,4.9,88.6,95,0.3,1.0,0.3,5.6,0.509,1,100.0
16,10166,Arquiteto de Software,Marketing Digital,Junior,1,21,1,Pós-graduação,6,10,INTERMEDIARIO,2,38,4.8,89.4,94,0.3,1.0,0.3,5.02,0.5953,0,51.8
17,10014,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,INTERMEDIARIO,2,30,4.7,83.0,87,0.3,0.5,1.0,7.19,0.79,1,100.0
17,10085,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,AVANCADO,3,48,4.9,86.7,93,0.3,0.5,1.0,7.33,0.6689,1,100.0
17,10012,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,INTERMEDIARIO,2,45,4.7,82.0,86,0.3,0.5,1.0,7.26,0.7084,1,100.0
17,10093,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,AVANCADO,3,32,4.8,87.9,93,0.3,0.5,1.0,6.92,0.751,1,100.0
17,10090,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,INTERMEDIARIO,2,28,4.9,90.8,96,0.3,0.5,1.0,7.75,0.749,1,100.0
17,10115,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,INTERMEDIARIO,2,35,4.9,92.8,98,0.3,0.5,0.3,4.25,0.5049,0,21.3
17,10071,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,INTERMEDIARIO,2,20,4.7,90.1,94,0.3,0.5,0.3,4.21,0.5486,0,71.2
17,10057,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,AVANCADO,3,40,4.7,87.8,92,0.3,0.5,0.3,4.17,0.5284,1,100.0
18,10129,Product Manager,Suporte Técnico,Intermediário,2,53,13,Superior Incompleto,4,15,AVANCADO,3,35,4.9,89.7,95,0.3,1.0,1.0,8.7,0.6767,1,100.0
18,10126,Product Manager,Suporte Técnico,Intermediário,2,53,13,Superior Incompleto,4,15,INTERMEDIARIO,2,30,4.9,91.6,96,1.0,1.0,1.0,10.0,0.9286,1,100.0
18,10080,Product Manager,Suporte Técnico,Intermediário,2,53,13,Superior Incompleto,4,15,AVANCADO,3,32,4.8,88.1,93,0.3,1.0,0.3,4.34,0.5681,0,34.5
19,10110,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,INTERMEDIARIO,2,30,4.8,89.7,95,1.0,1.0,1.0,9.61,0.98,1,100.0
19,10109,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,AVANCADO,3,45,4.8,87.5,94,1.0,0.5,1.0,9.69,0.9795,1,100.0
19,10041,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,INTERMEDIARIO,2,25,4.7,89.5,94,1.0,1.0,1.0,9.81,0.98,1,100.0
19,10111,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,INTERMEDIARIO,2,32,4.7,90.1,94,1.0,1.0,1.0,9.83,0.8202,0,42.2
19,10153,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,AVANCADO,3,42,4.9,88.1,95,1.0,0.5,0.3,6.18,0.6589,1,100.0
19,10168,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,INTERMEDIARIO,2,32,4.7,89.8,93,1.0,1.0,0.3,7.07,0.5883,1,100.0
20,10170,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,AVANCADO,3,40,4.8,88.6,95,1.0,0.5,1.0,8.96,0.8007,1,100.0
20,10169,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,AVANCADO,3,45,4.9,87.3,95,1.0,0.5,1.0,7.89,0.6809,1,100.0
20,10166,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,INTERMEDIARIO,2,38,4.8,89.4,94,1.0,0.5,1.0,8.93,0.8179,0,19.6
20,10173,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,INTERMEDIARIO,2,30,4.8,90.7,95,1.0,0.5,1.0,9.56,0.9632,1,100.0
20,10096,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,BASICO,1,28,4.8,93.8,96,1.0,0.5,0.3,6.21,0.697,1,100.0
20,10132,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,AVANCADO,3,30,4.9,91.4,96,1.0,0.5,0.3,5.54,0.615,0,64.1
21,10100,Analista de Dados,Design,Senior,3,41,12,Superior Incompleto,4,20,BASICO,1,30,4.7,91.6,94,1.0,1.0,1.0,9.84,0.7967,1,100.0
21,10102,Analista de Dados,Design,Senior,3,41,12,Superior Incompleto,4,20,INTERMEDIARIO,2,26,4.7,92.9,95,1.0,1.0,1.0,9.66,0.98,1,100.0
21,10171,Analista de Dados,Design,Senior,3,41,12,Superior Incompleto,4,20,AVANCADO,3,48,4.8,86.4,93,1.0,1.0,0.3,6.95,0.7504,1,100.0
21,10181,Analista de Dados,Design,Senior,3,41,12,Superior Incompleto,4,20,INTERMEDIARIO,2,30,4.9,90.8,96,1.0,1.0,0.3,7.36,0.7437,1,100.0
22,10182,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,AVANCADO,3,36,4.8,89.4,94,1.0,0.5,1.0,9.46,0.8496,0,83.0
22,10181,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,INTERMEDIARIO,2,30,4.9,90.8,96,1.0,0.5,1.0,9.11,0.8817,1,100.0
22,10177,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,INTERMEDIARIO,2,28,4.8,92.4,96,1.0,0.5,1.0,9.2,0.8262,1,100.0
22,10183,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,INTERMEDIARIO,2,24,4.8,92.7,96,1.0,0.5,1.0,10.0,0.8318,0,66.3
22,10055,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,AVANCADO,3,45,4.9,86.5,92,1.0,0.5,0.3,6.99,0.6043,0,20.2
22,10009,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,AVANCADO,3,55,4.8,78.0,85,1.0,0.5,0.3,5.36,0.6412,1,100.0
23,10008,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,AVANCADO,3,40,4.6,79.0,84,0.3,1.0,1.0,9.39,0.6301,1,100.0
23,10110,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,INTERMEDIARIO,2,30,4.8,89.7,95,1.0,1.0,1.0,9.59,0.7943,0,89.0
23,10112,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,INTERMEDIARIO,2,35,4.7,88.9,93,1.0,1.0,1.0,9.2,0.98,1,100.0
23,10010,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,BASICO,1,35,4.7,86.0,89,1.0,1.0,0.3,7.53,0.6737,1,100.0
23,10091,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,INTERMEDIARIO,2,35,4.8,89.1,94,1.0,1.0,0.3,7.68,0.6531,1,100.0
24,10076,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,INTERMEDIARIO,2,48,4.9,87.6,95,0.3,1.0,1.0,8.02,0.5634,1,100.0
24,10081,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,AVANCADO,3,38,4.7,86.8,92,0.3,1.0,1.0,8.18,0.7959,1,100.0
24,10011,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,BASICO,1,30,4.6,84.0,87,1.0,1.0,1.0,9.76,0.9312,1,100.0
24,10034,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,BASICO,1,30,4.8,92.5,97,1.0,1.0,0.3,6.84,0.7141,0,61.5
24,10096,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,BASICO,1,28,4.8,93.8,96,1.0,1.0,0.3,6.81,0.7536,1,100.0
25,10144,Engenheiro de Machine Learning,Qualidade de Software,Senior,3,41,10,Mestrado,7,5,AVANCADO,3,48,4.9,87.4,95,1.0,0.5,1.0,9.83,0.8896,1,100.0
25,10149,Engenheiro de Machine Learning,Qualidade de Software,Senior,3,41,10,Mestrado,7,5,AVANCADO,3,38,4.8,88.3,94,1.0,0.5,1.0,8.16,0.9475,0,56.5
25,10003,Engenheiro de Machine Learning,Qualidade de Software,Senior,3,41,10,Mestrado,7,5,BASICO,1,15,4.7,90.0,92,1.0,1.0,0.3,7.15,0.6801,1,100.0
26,10071,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,INTERMEDIARIO,2,20,4.7,90.1,94,1.0,1.0,1.0,9.86,0.8588,1,100.0
26,10066,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,INTERMEDIARIO,2,50,4.8,87.9,94,1.0,0.5,1.0,8.7,0.9128,1,100.0
26,10065,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,INTERMEDIARIO,2,48,4.9,90.2,96,1.0,0.5,1.0,9.48,0.8502,1,100.0
26,10049,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,AVANCADO,3,45,4.9,88.6,95,0.3,0.5,0.3,5.11,0.3928,1,100.0
26,10133,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,AVANCADO,3,32,4.8,89.6,94,0.3,0.5,0.3,4.61,0.5131,1,100.0
27,10159,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,AVANCADO,3,35,4.8,89.4,95,0.3,0.5,1.0,7.46,0.6747,1,100.0
27,10156,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,AVANCADO,3,42,4.8,88.9,94,0.3,0.5,1.0,6.62,0.98,1,100.0
27,10158,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,AVANCADO,3,40,4.9,88.6,95,0.3,0.5,1.0,7.78,0.6218,1,100.0
27,10157,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,AVANCADO,3,38,4.7,87.3,93,0.3,0.5,1.0,6.66,0.7389,0,90.1
27,10070,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,AVANCADO,3,35,4.9,88.3,94,0.3,0.5,0.3,3.53,0.4868,1,100.0
27,10002,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,BASICO,1,40,4.6,83.0,87,1.0,0.5,0.3,6.47,0.8328,0,43.7
