id_usuario,carreira_desejada,area_atuacao,nivel_experiencia,nivel_experiencia_num,idade,anos_experiencia,escolaridade,escolaridade_num,tempo_disponivel_semanal,taxa_conclusao_usuario,total_cursos_feitos,score_medio
26,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,34,7,Doutorado,8,5,1.0,5,7.55
27,Especialista em Cloud,Estudante,Junior,1,52,0,Técnico,3,8,0.667,6,6.42
28,Arquiteto de Software,Desenvolvimento de Software,Intermediário,2,45,6,Mestrado,7,20,0.75,8,7.3
29,Analista de Dados,Gestão de Produtos,Senior,3,25,7,Doutorado,8,4,0.875,8,7.95
30,Designer UX/UI,Estudante,Intermediário,2,40,4,Ensino Médio,2,5,1.0,4,7.55
31,Especialista em Cloud,Suporte Técnico,Intermediário,2,39,2,Ensino Médio,2,2,1.0,3,6.76
32,Analista de Dados,Desenvolvimento de Software,Intermediário,2,52,4,Ensino Fundamental,1,5,0.75,4,6.98
33,Designer UX/UI,Desenvolvimento de Software,Junior,1,18,0,Ensino Médio,2,12,1.0,5,7.67
34,Analista de Segurança,Suporte Técnico,Intermediário,2,31,6,Superior Incompleto,4,20,0.667,3,7.83
35,Engenheiro de Dados,Desenvolvimento de Software,Senior,3,32,14,Ensino Fundamental,1,5,0.833,6,7.84
36,Engenheiro de Dados,Infraestrutura/Cloud,Senior,3,49,6,Ensino Médio,2,2,0.857,7,7.71
37,QA/Tester,Design,Junior,1,49,3,Ensino Fundamental,1,8,1.0,3,7.89
38,QA/Tester,Qualidade de Software,Senior,3,40,6,Ensino Médio,2,6,0.857,7,8.14
39,Analista de Segurança,Tecnologia da Informação,Intermediário,2,30,6,Técnico,3,5,0.429,7,6.89
40,Arquiteto de Software,Infraestrutura/Cloud,Junior,1,39,1,Técnico,3,20,0.667,6,7.2
41,Cientista de Dados,Segurança da Informação,Junior,1,23,4,Mestrado,7,6,0.75,8,6.33
42,QA/Tester,Segurança da Informação,Senior,3,28,6,Superior Incompleto,4,2,1.0,3,8.09
43,Analista de Dados,Suporte Técnico,Junior,1,18,0,Pós-graduação,6,20,0.8,5,7.62
44,DevOps Engineer,Segurança da Informação,Junior,1,23,4,Ensino Médio,2,20,0.571,7,7.43
45,Desenvolvedor Mobile,Tecnologia da Informação,Junior,1,54,0,Ensino Fundamental,1,5,0.667,3,6.45
46,Product Manager,Segurança da Informação,Intermediário,2,41,14,Superior Incompleto,4,10,0.833,6,8.08
47,Desenvolvedor Frontend,Outro,Intermediário,2,49,8,Ensino Fundamental,1,6,0.8,5,8.1
48,Desenvolvedor Frontend,Estudante,Intermediário,2,29,6,Ensino Médio,2,4,0.857,7,7.13
49,Cientista de Dados,Suporte Técnico,Junior,1,20,2,Superior Incompleto,4,8,0.667,3,6.74
50,Engenheiro de Machine Learning,Qualidade de Software,Intermediário,2,34,16,Doutorado,8,4,0.667,6,7.04
51,Especialista em Cloud,Infraestrutura/Cloud,Junior,1,19,1,Superior Incompleto,4,2,0.4,5,6.35
52,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,36,1,Mestrado,7,8,0.667,6,6.93
53,Engenheiro de Dados,Gestão de Produtos,Intermediário,2,43,5,Doutorado,8,12,0.857,7,7.75
54,Arquiteto de Software,Suporte Técnico,Junior,1,21,1,Ensino Médio,2,15,0.5,8,7.3
55,Desenvolvedor Full Stack,Gestão de Produtos,Intermediário,2,34,5,Pós-graduação,6,15,0.857,7,8.29
56,Desenvolvedor Mobile,Ciência de Dados,Junior,1,22,3,Doutorado,8,4,0.667,3,7.21
57,Analista de Dados,Desenvolvimento de Software,Intermediário,2,39,10,Doutorado,8,2,0.833,6,7.7
58,Analista de Segurança,Tecnologia da Informação,Intermediário,2,26,5,Ensino Médio,2,5,0.143,7,6.86
59,Arquiteto de Software,Segurança da Informação,Junior,1,37,3,Ensino Médio,2,5,0.875,8,6.3
60,Desenvolvedor Backend,Gestão de Produtos,Junior,1,43,2,Doutorado,8,5,0.4,5,6.09
61,Analista de Segurança,Gestão de Produtos,Senior,3,37,6,Técnico,3,6,0.75,4,7.54
62,Desenvolvedor Full Stack,Gestão de Produtos,Senior,3,50,7,Doutorado,8,12,1.0,7,8.51
63,Analista de Dados,Outro,Intermediário,2,35,7,Doutorado,8,2,1.0,4,7.02
64,Desenvolvedor Mobile,Design,Senior,3,28,8,Ensino Fundamental,1,12,1.0,3,9.43
65,Engenheiro de Machine Learning,Segurança da Informação,Intermediário,2,47,9,Pós-graduação,6,5,0.5,8,6.95
66,Desenvolvedor Full Stack,Qualidade de Software,Intermediário,2,24,6,Técnico,3,20,1.0,8,7.94
67,Designer UX/UI,Tecnologia da Informação,Junior,1,19,0,Ensino Médio,2,8,0.857,7,6.83
68,Product Manager,Tecnologia da Informação,Senior,3,54,8,Superior Incompleto,4,20,0.75,4,8.49
69,Desenvolvedor Frontend,Qualidade de Software,Senior,3,52,18,Ensino Fundamental,1,5,0.75,8,8.2
70,Desenvolvedor Frontend,Gestão de Produtos,Junior,1,37,0,Pós-graduação,6,15,0.5,6,7.39
71,QA/Tester,Design,Intermediário,2,28,9,Pós-graduação,6,15,0.625,8,8.06
72,Cientista de Dados,Gestão de Produtos,Intermediário,2,37,2,Superior Completo,5,20,0.857,7,7.75
73,Engenheiro de Dados,Tecnologia da Informação,Senior,3,52,17,Doutorado,8,4,0.667,3,8.43
74,Product Manager,Tecnologia da Informação,Junior,1,19,1,Superior Incompleto,4,20,1.0,3,7.82
75,Designer UX/UI,Design,Junior,1,21,0,Pós-graduação,6,8,0.6,5,7.53
76,QA/Tester,Tecnologia da Informação,Senior,3,37,7,Pós-graduação,6,12,0.75,4,8.25
77,Desenvolvedor Backend,Infraestrutura/Cloud,Junior,1,20,0,Superior Completo,5,2,0.667,3,6.39
78,Product Manager,Suporte Técnico,Senior,3,39,13,Ensino Fundamental,1,10,0.833,6,8.88
79,Analista de Segurança,Segurança da Informação,Junior,1,25,1,Ensino Médio,2,8,0.667,3,7.9
80,QA/Tester,Desenvolvimento de Software,Junior,1,47,0,Ensino Médio,2,2,1.0,5,6.28
81,QA/Tester,Tecnologia da Informação,Intermediário,2,22,2,Técnico,3,5,0.714,7,6.82
82,Cientista de Dados,Qualidade de Software,Intermediário,2,34,11,Pós-graduação,6,8,0.714,7,7.45
83,Arquiteto de Software,Suporte Técnico,Intermediário,2,23,2,Doutorado,8,20,0.8,5,7.09
84,QA/Tester,Estudante,Senior,3,54,16,Mestrado,7,8,0.667,3,8.78
85,Desenvolvedor Full Stack,Estudante,Intermediário,2,48,2,Técnico,3,2,0.667,6,7.64
86,Desenvolvedor Backend,Outro,Junior,1,38,0,Mestrado,7,5,0.571,7,6.37
87,Designer UX/UI,Estudante,Senior,3,35,9,Ensino Médio,2,10,0.75,4,7.94
88,QA/Tester,Desenvolvimento de Software,Junior,1,20,1,Ensino Fundamental,1,15,1.0,5,6.94
89,Analista de Segurança,Marketing Digital,Senior,3,49,14,Técnico,3,10,0.5,4,8.64
90,Desenvolvedor Backend,Estudante,Junior,1,40,1,Pós-graduação,6,4,0.5,4,5.73
91,QA/Tester,Estudante,Senior,3,43,16,Superior Incompleto,4,15,1.0,8,8.76
92,Desenvolvedor Mobile,Suporte Técnico,Senior,3,50,8,Pós-graduação,6,10,0.833,6,8.52
93,QA/Tester,Gestão de Produtos,Intermediário,2,46,9,Técnico,3,12,0.667,3,8.18
94,Analista de Segurança,Desenvolvimento de Software,Junior,1,43,2,Mestrado,7,4,0.625,8,6.27
95,Desenvolvedor Backend,Outro,Senior,3,42,12,Mestrado,7,12,1.0,8,8.34
96,Analista de Segurança,Outro,Intermediário,2,53,12,Superior Completo,5,6,0.833,6,6.77
97,Especialista em Cloud,Outro,Junior,1,18,0,Mestrado,7,5,0.571,7,6.27
98,Analista de Segurança,Estudante,Junior,1,32,1,Superior Incompleto,4,4,0.5,8,6.18
99,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,49,18,Superior Completo,5,20,1.0,3,8.78
100,Desenvolvedor Mobile,Estudante,Senior,3,39,16,Superior Incompleto,4,6,1.0,4,7.92
101,Engenheiro de Dados,Design,Intermediário,2,23,3,Superior Completo,5,10,0.667,3,7.9
102,Arquiteto de Software,Segurança da Informação,Junior,1,54,0,Pós-graduação,6,15,0.571,7,7.08
103,Desenvolvedor Full Stack,Tecnologia da Informação,Intermediário,2,22,3,Técnico,3,6,0.714,7,7.93
104,Desenvolvedor Full Stack,Tecnologia da Informação,Senior,3,49,19,Mestrado,7,5,0.833,6,8.26
105,Engenheiro de Machine Learning,Marketing Digital,Senior,3,33,12,Ensino Médio,2,4,1.0,7,7.75
106,QA/Tester,Qualidade de Software,Intermediário,2,47,18,Superior Completo,5,2,0.75,8,7.67
107,Engenheiro de Machine Learning,Gestão de Produtos,Intermediário,2,36,4,Superior Incompleto,4,8,0.625,8,6.98
108,Analista de Dados,Tecnologia da Informação,Senior,3,40,8,Pós-graduação,6,8,0.667,3,8.94
109,Engenheiro de Dados,Suporte Técnico,Junior,1,18,0,Superior Completo,5,4,0.5,8,6.76
110,Designer UX/UI,Design,Senior,3,49,15,Mestrado,7,20,1.0,7,8.55
111,Analista de Dados,Outro,Junior,1,18,0,Técnico,3,12,0.75,8,7.7
112,Desenvolvedor Mobile,Gestão de Produtos,Junior,1,22,2,Mestrado,7,5,0.667,6,7.05
113,Product Manager,Qualidade de Software,Senior,3,54,13,Mestrado,7,8,1.0,5,8.59
114,Analista de Segurança,Estudante,Intermediário,2,47,13,Superior Completo,5,6,0.833,6,7.41
115,Analista de Dados,Qualidade de Software,Intermediário,2,22,2,Pós-graduação,6,8,0.8,5,7.62
116,DevOps Engineer,Infraestrutura/Cloud,Junior,1,53,0,Superior Incompleto,4,8,0.5,6,6.94
117,Designer UX/UI,Infraestrutura/Cloud,Senior,3,40,9,Técnico,3,10,0.667,3,8.49
118,Desenvolvedor Frontend,Design,Junior,1,22,3,Pós-graduação,6,4,0.714,7,7.27
119,Analista de Segurança,Ciência de Dados,Intermediário,2,48,9,Superior Completo,5,5,0.667,6,7.14
120,Especialista em Cloud,Ciência de Dados,Junior,1,49,0,Ensino Fundamental,1,15,0.667,6,7.53
121,Desenvolvedor Full Stack,Ciência de Dados,Intermediário,2,22,2,Ensino Médio,2,6,0.75,8,7.66
122,Analista de Dados,Suporte Técnico,Junior,1,19,0,Superior Incompleto,4,6,0.75,4,6.01
123,Engenheiro de Machine Learning,Outro,Junior,1,52,0,Doutorado,8,2,0.714,7,6.35
124,Analista de Dados,Ciência de Dados,Intermediário,2,54,11,Ensino Fundamental,1,5,1.0,3,7.81
125,Especialista em Cloud,Gestão de Produtos,Junior,1,18,0,Técnico,3,15,0.75,8,7.24
126,Especialista em Cloud,Outro,Intermediário,2,27,9,Doutorado,8,4,0.625,8,6.87
127,Designer UX/UI,Ciência de Dados,Intermediário,2,52,16,Doutorado,8,15,0.667,6,8.17
128,Especialista em Cloud,Infraestrutura/Cloud,Senior,3,46,9,Pós-graduação,6,4,1.0,4,8.14
129,Product Manager,Outro,Intermediário,2,24,3,Mestrado,7,8,0.833,6,8.52
130,QA/Tester,Desenvolvimento de Software,Intermediário,2,28,3,Doutorado,8,20,0.8,5,7.42
131,Cientista de Dados,Ciência de Dados,Intermediário,2,38,3,Superior Completo,5,8,0.75,4,7.51
132,Arquiteto de Software,Ciência de Dados,Junior,1,26,2,Doutorado,8,2,0.833,6,6.48
133,Engenheiro de Machine Learning,Design,Senior,3,52,15,Superior Completo,5,6,0.333,3,8.09
134,Engenheiro de Dados,Segurança da Informação,Intermediário,2,35,16,Técnico,3,12,1.0,4,8.21
135,Desenvolvedor Mobile,Gestão de Produtos,Junior,1,49,4,Técnico,3,2,0.8,5,6.47
136,Desenvolvedor Frontend,Gestão de Produtos,Intermediário,2,30,2,Pós-graduação,6,20,0.667,3,7.67
137,Analista de Dados,Estudante,Senior,3,47,16,Mestrado,7,2,0.857,7,8.0
138,QA/Tester,Qualidade de Software,Senior,3,37,15,Ensino Fundamental,1,20,1.0,6,8.76
139,Analista de Dados,Infraestrutura/Cloud,Senior,3,39,12,Pós-graduação,6,5,0.8,5,8.21
140,Especialista em Cloud,Gestão de Produtos,Senior,3,53,11,Superior Incompleto,4,20,1.0,3,8.48
141,Desenvolvedor Mobile,Design,Intermediário,2,36,11,Doutorado,8,20,0.75,4,7.86
142,Analista de Dados,Marketing Digital,Junior,1,24,4,Mestrado,7,6,0.571,7,6.48
143,Analista de Segurança,Infraestrutura/Cloud,Intermediário,2,33,4,Ensino Fundamental,1,5,0.5,8,7.34
144,Product Manager,Qualidade de Software,Intermediário,2,29,11,Ensino Fundamental,1,8,0.875,8,7.23
145,Arquiteto de Software,Gestão de Produtos,Intermediário,2,40,15,Doutorado,8,20,0.667,6,7.34
146,Desenvolvedor Full Stack,Design,Junior,1,31,4,Pós-graduação,6,5,0.714,7,7.78
147,DevOps Engineer,Marketing Digital,Senior,3,40,10,Mestrado,7,4,0.875,8,7.91
148,Especialista em Cloud,Gestão de Produtos,Senior,3,29,8,Ensino Médio,2,2,0.667,6,8.24
149,Desenvolvedor Full Stack,Outro,Senior,3,24,5,Ensino Fundamental,1,15,1.0,8,8.65
150,Desenvolvedor Mobile,Suporte Técnico,Intermediário,2,26,8,Ensino Fundamental,1,4,0.8,5,7.96
151,Desenvolvedor Mobile,Ciência de Dados,Junior,1,46,4,Técnico,3,10,0.5,6,6.99
152,Desenvolvedor Backend,Infraestrutura/Cloud,Intermediário,2,36,7,Ensino Médio,2,2,0.833,6,7.62
153,DevOps Engineer,Outro,Intermediário,2,39,19,Pós-graduação,6,2,0.75,4,7.36
154,Product Manager,Qualidade de Software,Intermediário,2,24,5,Ensino Médio,2,6,1.0,3,8.98
155,Cientista de Dados,Tecnologia da Informação,Senior,3,48,18,Ensino Fundamental,1,10,0.833,6,8.27
156,Product Manager,Suporte Técnico,Senior,3,44,9,Mestrado,7,5,1.0,7,7.87
157,Desenvolvedor Mobile,Tecnologia da Informação,Junior,1,20,1,Superior Incompleto,4,4,0.429,7,6.5
158,Desenvolvedor Frontend,Outro,Intermediário,2,37,7,Ensino Médio,2,20,0.8,5,7.82
159,Engenheiro de Dados,Segurança da Informação,Junior,1,18,0,Pós-graduação,6,20,0.75,4,6.97
160,Desenvolvedor Frontend,Segurança da Informação,Junior,1,42,0,Pós-graduação,6,10,0.833,6,7.89
161,Desenvolvedor Full Stack,Gestão de Produtos,Intermediário,2,23,4,Ensino Médio,2,8,0.875,8,7.52
162,Engenheiro de Dados,Suporte Técnico,Senior,3,38,10,Técnico,3,8,1.0,7,8.45
163,Desenvolvedor Backend,Outro,Intermediário,2,53,2,Superior Completo,5,5,0.667,3,7.52
164,DevOps Engineer,Gestão de Produtos,Senior,3,37,17,Superior Completo,5,20,1.0,4,8.32
165,Analista de Segurança,Ciência de Dados,Senior,3,31,13,Superior Completo,5,2,1.0,4,7.79
166,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,20,2,Mestrado,7,12,1.0,3,8.64
167,Desenvolvedor Full Stack,Infraestrutura/Cloud,Senior,3,28,9,Técnico,3,15,1.0,6,8.74
168,Desenvolvedor Mobile,Marketing Digital,Senior,3,29,7,Pós-graduação,6,6,0.714,7,7.88
169,QA/Tester,Qualidade de Software,Intermediário,2,43,7,Superior Completo,5,4,0.25,4,6.6
170,Designer UX/UI,Ciência de Dados,Intermediário,2,45,4,Superior Incompleto,4,20,0.75,8,8.58
171,DevOps Engineer,Segurança da Informação,Senior,3,53,16,Doutorado,8,20,1.0,3,8.73
172,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,50,19,Ensino Fundamental,1,5,1.0,6,6.84
173,Cientista de Dados,Ciência de Dados,Senior,3,23,5,Superior Incompleto,4,5,0.875,8,7.96
174,Arquiteto de Software,Qualidade de Software,Junior,1,42,1,Doutorado,8,15,0.833,6,7.6
175,Designer UX/UI,Segurança da Informação,Senior,3,47,17,Mestrado,7,8,1.0,5,8.43
176,Designer UX/UI,Marketing Digital,Junior,1,50,0,Doutorado,8,4,0.375,8,6.5
177,Cientista de Dados,Design,Intermediário,2,49,14,Superior Incompleto,4,2,0.25,8,7.11
178,Engenheiro de Machine Learning,Ciência de Dados,Senior,3,28,9,Ensino Médio,2,2,0.875,8,8.4
179,Designer UX/UI,Outro,Junior,1,52,0,Superior Incompleto,4,8,0.667,3,8.04
180,Desenvolvedor Mobile,Outro,Intermediário,2,23,3,Superior Completo,5,8,0.75,8,7.99
181,Desenvolvedor Frontend,Ciência de Dados,Intermediário,2,22,4,Superior Incompleto,4,5,0.75,4,7.32
182,Desenvolvedor Backend,Design,Intermediário,2,40,4,Técnico,3,8,1.0,5,7.91
183,Desenvolvedor Full Stack,Estudante,Senior,3,54,9,Superior Completo,5,5,1.0,6,8.35
184,Desenvolvedor Backend,Suporte Técnico,Intermediário,2,34,13,Ensino Médio,2,20,0.625,8,8.01
185,Product Manager,Design,Junior,1,18,0,Doutorado,8,6,0.6,5,6.83
186,DevOps Engineer,Marketing Digital,Junior,1,18,0,Ensino Fundamental,1,15,0.667,6,7.18
187,Cientista de Dados,Infraestrutura/Cloud,Senior,3,45,7,Ensino Médio,2,12,0.857,7,8.69
188,DevOps Engineer,Tecnologia da Informação,Junior,1,43,1,Ensino Fundamental,1,10,0.5,6,7.43
189,Desenvolvedor Backend,Desenvolvimento de Software,Junior,1,20,1,Superior Completo,5,2,0.5,6,6.92
190,Desenvolvedor Frontend,Ciência de Dados,Junior,1,22,2,Mestrado,7,12,0.5,4,7.37
191,Especialista em Cloud,Segurança da Informação,Senior,3,54,13,Doutorado,8,4,1.0,4,7.82
192,Cientista de Dados,Qualidade de Software,Senior,3,28,9,Superior Completo,5,12,0.875,8,8.74
193,Product Manager,Estudante,Intermediário,2,51,5,Ensino Médio,2,4,0.5,4,7.08
194,Arquiteto de Software,Ciência de Dados,Intermediário,2,51,17,Ensino Médio,2,5,0.25,4,6.28
195,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,51,19,Ensino Médio,2,20,1.0,6,8.77
196,Desenvolvedor Full Stack,Gestão de Produtos,Senior,3,50,14,Doutorado,8,12,1.0,4,8.26
197,Desenvolvedor Full Stack,Ciência de Dados,Intermediário,2,34,4,Superior Completo,5,6,0.714,7,7.56
198,Desenvolvedor Frontend,Suporte Técnico,Senior,3,27,9,Superior Completo,5,2,0.857,7,8.0
199,Product Manager,Suporte Técnico,Intermediário,2,51,5,Mestrado,7,8,0.6,5,7.15
200,Designer UX/UI,Ciência de Dados,Junior,1,19,0,Técnico,3,5,0.75,8,6.96
201,QA/Tester,Design,Intermediário,2,40,15,Ensino Médio,2,10,0.667,3,8.03
202,Desenvolvedor Backend,Design,Senior,3,33,7,Superior Completo,5,6,0.857,7,7.91
203,Desenvolvedor Frontend,Infraestrutura/Cloud,Intermediário,2,21,2,Superior Completo,5,5,0.833,6,7.82
204,Cientista de Dados,Segurança da Informação,Senior,3,44,17,Doutorado,8,5,0.6,5,7.53
205,Desenvolvedor Frontend,Qualidade de Software,Intermediário,2,36,4,Mestrado,7,4,0.667,6,7.78
206,Product Manager,Design,Intermediário,2,45,9,Ensino Médio,2,10,0.571,7,7.71
207,Arquiteto de Software,Qualidade de Software,Senior,3,38,5,Ensino Fundamental,1,2,0.714,7,7.94
208,Product Manager,Estudante,Intermediário,2,22,4,Doutorado,8,4,0.714,7,7.58
209,QA/Tester,Design,Senior,3,31,12,Mestrado,7,20,1.0,3,8.79
210,Analista de Segurança,Infraestrutura/Cloud,Senior,3,43,14,Doutorado,8,20,0.857,7,8.6
211,Analista de Dados,Marketing Digital,Intermediário,2,39,14,Ensino Médio,2,15,1.0,3,9.06
212,Engenheiro de Dados,Gestão de Produtos,Senior,3,47,10,Doutorado,8,2,0.6,5,8.12
213,Arquiteto de Software,Gestão de Produtos,Intermediário,2,43,3,Ensino Fundamental,1,2,0.2,5,6.24
214,Desenvolvedor Frontend,Marketing Digital,Intermediário,2,25,7,Pós-graduação,6,5,1.0,3,7.87
215,Especialista em Cloud,Gestão de Produtos,Senior,3,32,14,Ensino Fundamental,1,15,0.8,5,8.25
216,Analista de Segurança,Segurança da Informação,Intermediário,2,39,13,Mestrado,7,12,0.571,7,8.01
217,Desenvolvedor Mobile,Segurança da Informação,Junior,1,31,1,Doutorado,8,15,0.571,7,7.55
218,Arquiteto de Software,Infraestrutura/Cloud,Intermediário,2,24,2,Superior Incompleto,4,12,0.667,3,7.86
219,Designer UX/UI,Desenvolvimento de Software,Senior,3,35,5,Doutorado,8,5,0.571,7,7.81
220,Desenvolvedor Frontend,Estudante,Junior,1,32,4,Superior Incompleto,4,12,1.0,5,8.0
221,Cientista de Dados,Segurança da Informação,Intermediário,2,34,6,Mestrado,7,10,0.714,7,7.69
222,Desenvolvedor Mobile,Tecnologia da Informação,Senior,3,43,11,Ensino Médio,2,20,0.8,5,8.79
223,Analista de Segurança,Desenvolvimento de Software,Senior,3,34,12,Superior Completo,5,6,0.286,7,7.74
224,Engenheiro de Machine Learning,Design,Intermediário,2,42,3,Doutorado,8,5,0.5,4,6.74
225,Desenvolvedor Mobile,Infraestrutura/Cloud,Senior,3,35,14,Técnico,3,6,0.875,8,7.88
226,Desenvolvedor Mobile,Qualidade de Software,Junior,1,39,1,Técnico,3,15,0.75,4,7.34
227,Analista de Segurança,Tecnologia da Informação,Senior,3,36,9,Mestrado,7,20,0.667,6,9.14
228,QA/Tester,Segurança da Informação,Senior,3,54,5,Ensino Fundamental,1,6,0.75,4,7.72
229,Engenheiro de Machine Learning,Design,Junior,1,43,1,Doutorado,8,15,0.714,7,7.21
230,Analista de Segurança,Desenvolvimento de Software,Intermediário,2,23,4,Doutorado,8,20,0.833,6,8.49
231,Engenheiro de Dados,Segurança da Informação,Senior,3,50,5,Mestrado,7,10,0.875,8,8.75
232,QA/Tester,Marketing Digital,Junior,1,21,1,Superior Incompleto,4,15,0.667,3,7.98
233,Product Manager,Gestão de Produtos,Junior,1,26,2,Mestrado,7,5,0.667,3,6.02
234,Engenheiro de Dados,Outro,Senior,3,48,7,Mestrado,7,8,0.667,3,8.52
235,Arquiteto de Software,Suporte Técnico,Intermediário,2,53,5,Doutorado,8,4,0.75,8,6.78
236,Desenvolvedor Backend,Segurança da Informação,Intermediário,2,37,10,Pós-graduação,6,6,0.571,7,7.35
237,Analista de Segurança,Infraestrutura/Cloud,Intermediário,2,32,5,Doutorado,8,10,0.857,7,7.96
238,Engenheiro de Machine Learning,Desenvolvimento de Software,Intermediário,2,47,5,Técnico,3,5,0.571,7,6.95
239,DevOps Engineer,Design,Junior,1,19,0,Mestrado,7,15,0.667,3,8.24
240,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,22,2,Mestrado,7,10,1.0,3,8.03
241,Arquiteto de Software,Outro,Junior,1,37,0,Ensino Fundamental,1,6,0.5,4,5.86
242,Product Manager,Tecnologia da Informação,Intermediário,2,29,10,Superior Completo,5,2,0.625,8,7.74
243,Engenheiro de Machine Learning,Tecnologia da Informação,Intermediário,2,31,5,Ensino Médio,2,8,0.75,4,6.94
244,DevOps Engineer,Desenvolvimento de Software,Junior,1,28,3,Superior Completo,5,5,0.714,7,6.73
245,Desenvolvedor Full Stack,Marketing Digital,Senior,3,50,5,Superior Completo,5,4,0.75,8,8.04
246,Engenheiro de Dados,Gestão de Produtos,Intermediário,2,27,4,Superior Incompleto,4,12,0.714,7,7.16
247,Product Manager,Suporte Técnico,Intermediário,2,27,9,Técnico,3,4,0.429,7,7.16
248,Desenvolvedor Frontend,Qualidade de Software,Junior,1,19,0,Superior Incompleto,4,2,0.667,3,6.44
249,DevOps Engineer,Qualidade de Software,Senior,3,54,8,Superior Incompleto,4,2,0.333,3,8.17
250,Arquiteto de Software,Design,Intermediário,2,26,7,Superior Completo,5,15,0.667,6,7.47
251,QA/Tester,Infraestrutura/Cloud,Intermediário,2,52,16,Técnico,3,8,1.0,3,7.82
252,DevOps Engineer,Marketing Digital,Senior,3,31,10,Superior Completo,5,20,0.8,5,8.66
253,Analista de Dados,Outro,Senior,3,51,11,Doutorado,8,5,0.8,5,7.76
254,Desenvolvedor Mobile,Gestão de Produtos,Junior,1,52,0,Ensino Médio,2,15,0.5,4,6.64
255,Desenvolvedor Mobile,Gestão de Produtos,Senior,3,39,7,Pós-graduação,6,20,0.8,5,8.72
256,Engenheiro de Machine Learning,Design,Senior,3,54,13,Mestrado,7,5,1.0,4,7.8
257,Desenvolvedor Full Stack,Qualidade de Software,Intermediário,2,38,4,Ensino Fundamental,1,8,0.75,4,6.86
258,Analista de Segurança,Design,Intermediário,2,36,13,Pós-graduação,6,6,0.75,4,6.42
259,Arquiteto de Software,Ciência de Dados,Senior,3,42,12,Superior Completo,5,20,1.0,7,8.31
260,Especialista em Cloud,Outro,Intermediário,2,35,7,Técnico,3,15,0.75,4,7.86
